transientid,ML_PROB_FRB
0.499995_DM_27.02_beam_0C2020_04_13_10:10:34.fil.hdf5,1.0
0.499995_DM_294.72_beam_2C2020_03_31_00:07:15.fil.hdf5,2.0608893e-05
0.499995_DM_29.47_beam_0C2020_04_13_08:51:16.fil.hdf5,0.9477993
0.499995_DM_29.47_beam_560C2020_04_23_23:00:18.fil.hdf5,0.0020366325
0.499995_DM_355.20_beam_4C2020_03_31_00:11:16.fil.hdf5,5.777895e-07
0.499995_DM_36.53_beam_331C2019_12_06_15:48:17.fil.hdf5,1.2556004e-06
0.499995_DM_376.69_beam_0C2020_03_20_03:41:22.fil.hdf5,0.0003507618
0.499995_DM_402.85_beam_0C2020_02_02_11:27:02.fil.hdf5,1.0
0.499995_DM_41.45_beam_1C2020_04_14_01:48:41.fil.hdf5,6.491212e-05
0.499995_DM_49.12_beam_0C2020_03_20_21:34:22.fil.hdf5,1.0
0.499995_DM_49.12_beam_0C2020_03_28_12:44:23.fil.hdf5,0.9410198
0.499995_DM_49.12_beam_0C2020_03_28_15:22:57.fil.hdf5,0.9968892
0.499995_DM_502.60_beam_8C2020_02_02_12:06:34.fil.hdf5,2.2840081e-06
0.499995_DM_51.88_beam_5C2020_02_16_01:50:44.fil.hdf5,7.749513e-08
0.499995_DM_55.57_beam_11C2020_02_02_05:44:01.fil.hdf5,4.9571612e-05
0.499995_DM_56.80_beam_0C2020_03_30_04:02:02.fil.hdf5,0.99997663
0.499995_DM_602.36_beam_542C2020_04_13_00:54:36.fil.hdf5,1.7328367e-06
0.499995_DM_60.79_beam_9C2020_02_16_01:45:37.fil.hdf5,9.0462464e-07
0.499995_DM_64.16_beam_557C2020_04_23_22:58:40.fil.hdf5,7.9414276e-05
0.499995_DM_70.61_beam_0C2020_04_19_16:23:37.fil.hdf5,0.9999993
0.499995_DM_84.42_beam_0C2020_04_19_16:03:06.fil.hdf5,1.0
0.499995_DM_931.40_beam_159C2020_04_27_02:17:33.fil.hdf5,1.1819862e-05
0.499995_DM_94.56_beam_0C2020_04_19_19:43:41.fil.hdf5,1.0
0.499996_DM_100.70_beam_0C2020_04_19_19:49:47.fil.hdf5,1.0
0.499996_DM_102.23_beam_11C2020_02_02_12:08:30.fil.hdf5,9.790725e-06
0.499996_DM_1049.13_beam_9C2020_02_04_02:37:03.fil.hdf5,4.1022483e-07
0.499996_DM_113.90_beam_11C2020_04_07_04:53:20.fil.hdf5,6.08272e-05
0.499996_DM_118.81_beam_0C2020_04_12_02:36:15.fil.hdf5,1.0
0.499996_DM_132.93_beam_53C2020_04_13_00:48:33.fil.hdf5,3.1339955e-06
0.499996_DM_1341.58_beam_8C2020_02_02_04:42:12.fil.hdf5,7.879835e-05
0.499996_DM_1359.30_beam_531C2020_01_20_09:47:09.fil.hdf5,0.018796492
0.499996_DM_139.99_beam_517C2020_04_13_00:48:33.fil.hdf5,3.5920547e-08
0.499996_DM_143.98_beam_0C2020_04_07_03:42:56.fil.hdf5,0.99983275
0.499996_DM_146.13_beam_0C2020_04_19_19:27:56.fil.hdf5,1.0
0.499996_DM_1466.91_beam_443C2020_01_02_15:33:13.fil.hdf5,0.0009333418
0.499996_DM_150.74_beam_0C2020_04_19_16:14:43.fil.hdf5,1.0
0.499996_DM_1526.42_beam_661C2020_04_13_02:21:13.fil.hdf5,0.0040886267
0.499996_DM_159.03_beam_559C2020_04_27_02:19:46.fil.hdf5,0.00045059013
0.499996_DM_161.48_beam_0I2020_01_12_23:24:31.fil.hdf5,0.002033016
0.499996_DM_162.10_beam_0C2020_04_12_00:07:57.fil.hdf5,0.9999411
0.499996_DM_162.40_beam_0C2020_03_23_03:05:26.fil.hdf5,0.9999999
0.499996_DM_165.17_beam_0C2020_04_11_23:53:44.fil.hdf5,0.9992206
0.499996_DM_172.53_beam_248C2019_12_18_08:43:56.fil.hdf5,0.010651114
0.499996_DM_173.15_beam_0C2020_04_07_02:56:53.fil.hdf5,0.99780995
0.499996_DM_173.76_beam_0C2020_04_07_03:10:56.fil.hdf5,1.0
0.499996_DM_176.83_beam_0C2020_03_15_17:49:02.fil.hdf5,0.99999297
0.499996_DM_177.14_beam_0C2020_03_30_01:46:45.fil.hdf5,0.99999976
0.499996_DM_177.14_beam_0C2020_04_13_07:55:34.fil.hdf5,0.84165764
0.499996_DM_177.45_beam_0C2020_04_13_07:52:44.fil.hdf5,1.0
0.499996_DM_179.29_beam_0C2020_04_11_20:51:46.fil.hdf5,1.0
0.499996_DM_179.59_beam_0C2020_04_11_20:52:10.fil.hdf5,1.0
0.499996_DM_180.82_beam_0C2020_04_19_17:26:18.fil.hdf5,1.0
0.499996_DM_191.88_beam_0C2020_02_02_11:50:07.fil.hdf5,0.99999917
0.499996_DM_192.18_beam_0C2020_02_02_12:08:16.fil.hdf5,1.0
0.499996_DM_198.32_beam_0C2020_02_04_00:28:13.fil.hdf5,0.9997657
0.499996_DM_21.49_beam_201C2020_05_31_18:24:10.fil.hdf5,3.399323e-05
0.499996_DM_22.10_beam_0C2020_04_13_05:31:57.fil.hdf5,0.08601023
0.499996_DM_230.86_beam_0I2020_01_12_23:31:31.fil.hdf5,0.013933562
0.499996_DM_23.33_beam_0C2020_04_13_08:18:08.fil.hdf5,0.9999627
0.499996_DM_23.33_beam_0C2020_04_13_08:18:39.fil.hdf5,1.0
0.499996_DM_235.47_beam_0C2020_04_12_02:52:18.fil.hdf5,0.99994385
0.499996_DM_2491.06_beam_360C2019_12_18_08:41:49.fil.hdf5,0.00030741756
0.499996_DM_25.17_beam_0C2020_03_23_02:56:38.fil.hdf5,0.000448935
0.499996_DM_253.28_beam_0I2020_01_12_23:59:46.fil.hdf5,0.001979401
0.499996_DM_26.40_beam_0C2020_04_13_10:13:43.fil.hdf5,0.9995819
0.499996_DM_26.71_beam_63C2020_04_23_23:00:46.fil.hdf5,1.0344959e-06
0.499996_DM_26.71_beam_753C2020_04_23_23:04:40.fil.hdf5,1.4836967e-05
0.499996_DM_27.32_beam_429C2020_04_23_23:00:20.fil.hdf5,1.6221255e-05
0.499996_DM_27.63_beam_497C2020_04_23_23:00:03.fil.hdf5,0.00011014481
0.499996_DM_27.94_beam_0C2020_04_13_10:08:31.fil.hdf5,0.99999833
0.499996_DM_280.60_beam_0C2020_04_11_23:06:42.fil.hdf5,0.99996746
0.499996_DM_280.90_beam_0C2020_04_11_22:53:30.fil.hdf5,0.998097
